snapped_at,price,market_cap,total_volume
2020-12-26 00:00:00 UTC,21.395346650806303,3009052.539340741,22390.423573635693
2020-12-27 00:00:00 UTC,20.4724936402984,2875165.284088018,38877.26074187318
2020-12-28 00:00:00 UTC,23.17997791879635,3282472.7648856957,38561.68458551026
2020-12-29 00:00:00 UTC,23.32457032594763,3278513.258830491,53521.18192067434
2020-12-30 00:00:00 UTC,23.673381649378644,3315417.8334561214,35019.95428455187
2020-12-31 00:00:00 UTC,25.743628675109914,3586728.8068708745,53322.78757626899
2021-01-01 00:00:00 UTC,25.199710664116992,3538364.792072761,67388.27821319777
2021-01-02 00:00:00 UTC,24.948631128078627,3380394.2197186346,44351.57079969451
2021-01-03 00:00:00 UTC,26.889675546840937,3628935.5611505983,35814.13611491682
2021-01-04 00:00:00 UTC,29.774500195356776,4096639.223832715,94232.39211454928
2021-01-05 00:00:00 UTC,29.244689726261484,3949299.856706544,54198.67177359719
2021-01-06 00:00:00 UTC,29.699481393215613,4000149.4571276023,44701.38745159565
2021-01-07 00:00:00 UTC,28.747048890206433,3870085.0452550254,76703.87823307922
2021-01-08 00:00:00 UTC,23.419713706904865,3155049.5560427867,130312.29624298554
2021-01-09 00:00:00 UTC,22.792428340100564,3092669.725828185,113576.63454754621
2021-01-10 00:00:00 UTC,20.42350733910484,2781025.3792641647,103548.40781556474
2021-01-11 00:00:00 UTC,19.390426888588514,2627385.1816751957,143079.04238117675
2021-01-12 00:00:00 UTC,16.64463265431462,2249760.168771205,40675.60276278254
2021-01-13 00:00:00 UTC,16.495378025343218,2238801.292153024,62730.77870985344
2021-01-14 00:00:00 UTC,17.987205452127036,2648113.9646711736,25390.4108082461
2021-01-15 00:00:00 UTC,20.132224590616993,2931297.0406267648,91093.61821117974
2021-01-16 00:00:00 UTC,18.944246266026166,2795589.239652619,35055.566069652254
2021-01-17 00:00:00 UTC,19.358934734925317,2846888.611757088,33049.78842622375
2021-01-18 00:00:00 UTC,18.220721556549677,2697931.833989172,49668.75170973409
2021-01-19 00:00:00 UTC,17.99209465663987,2648833.7635738445,20497.689054425806
2021-01-20 00:00:00 UTC,21.658881816120466,3204472.9681223407,166844.5835996767
2021-01-21 00:00:00 UTC,20.69945443780503,3039926.5583047904,49365.53044235269
2021-01-22 00:00:00 UTC,18.708605269821245,2786239.988885586,46850.05582686313
2021-01-23 00:00:00 UTC,21.887045972914006,3214459.2304979255,52114.39984465033
2021-01-24 00:00:00 UTC,19.247127995606057,2779101.7978133964,149199.86049252315
